Section,Current,Proposed
"3. Ghost Duel share (share.js, share-ui.js)",🎯 Your ACE pin — 0.4 km / Your closest pin — …,keep
"3. Ghost Duel share (share.js, share-ui.js)",Nailed it / Right region / Right continent / Lost (medal captions),keep
"3. Ghost Duel share (share.js, share-ui.js)","GeoParty Daily #37 — I beat the ghost by 1,840 🏆 (card lead)","keep (add ""pts"" to margin)"
"3. Ghost Duel share (share.js, share-ui.js)",**⚔️ Send your run back: url** (duel card line 3),**⚔️ Share your run back: url** **[test]**
"3. Ghost Duel share (share.js, share-ui.js)",⚔️ Beat my ghost: url (fresh-run card),keep
"3. Ghost Duel share (share.js, share-ui.js)",Beat me: url (plain card),keep
"3. Ghost Duel share (share.js, share-ui.js)","I beat the ghost by 1,840 🏆 / The ghost got me by 620 👻","keep (add ""pts"" to margin)"
"3. Ghost Duel share (share.js, share-ui.js)",**You and the ghost tied 🤝** (card tie line),**The ghost and I tied 🤝** **[test]**
"3. Ghost Duel share (share.js, share-ui.js)",**Result copied — paste it anywhere 📋** (toast),**Challenge link copied — share it with your friend 📋** (duel); keep for plain
"3. Ghost Duel share (share.js, share-ui.js)","Round 2 · Kyoto, Japan · 3 km · 1,240 pts / no guess (recap)",**Round 2 of 5**; **no pin**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",reconnecting…,**Reconnecting — hang tight…**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Your team name / The Atlas Cats,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",🎲 Surprise me,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Have a code? / CODE / Join,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Start a new game →,**Start the party**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Room · ······,**Room code**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Send invite link,**Share the invite link**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)","📺 Add a TV — optional / Scan with any phone or tablet, then cast or AirPlay it…",keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Send the TV link,**Share the TV link**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Teams,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Leave (JS swaps to Abandon for host),**Leave** (host: **Close the room**)
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Start game,**Start the game**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Give up,**Give up this round**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Make guess,**Guess on the map**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",map hint / Back to street / Lock it in,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",LOCKED IN,keep (ceremony)
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Eyes on the TV 📺,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Who's in,**Who's locked in**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",✋ Hold,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Game over!,keep (canonical)
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Leave the game,**Leave**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Share,**Share your result**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Set up the next game,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Auto-lock pins,**Lock in dropped pins**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Open the room,**Start the party**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Some images wouldn't load — we skipped ahead.,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Couldn't load the imagery… / Retry,**Couldn't load the street view.** / keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)","👑 Your game now / Start a new game / Same teams, fresh scores…",keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Give your team a name first(.),"keep (one literal, punctuation normalized)"
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Could not create game — see console,**Couldn't start the party — check your connection and try again.**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",That's not a room code. / Room not found — check the code. / That game already started. / Room is full (4 teams max). / Could not join — try again.,"keep (model family); ""That game already started."" → **…— ask for a new code when the next one begins.**"
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",That room is a couch game — this page is head-to-head.,**That code is for a one-phone party — nothing to join from your phone.**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",The room was closed. / Room not found.,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Couldn't follow into the next game.,**…ask the winner for the new code.**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",You're no longer in this room.,keep (add next step)
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",${Team} locked in!,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",""" (you)"" / "" 👑"" (lobby roster)","**"" (you)""** / **"" · host""**"
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",ready (roster tag),**drop** (unconditional noise)
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Abandon / Leave,**Close the room** / **Leave**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)","Start solo, or wait for rivals… / n teams in… / Waiting for {host}… / · TV ✓",keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Join my GeoParty head-to-head — room CODE / Invite link copied / Send this link: url,**Join my GeoParty — room {CODE}** / **Invite link copied** / keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Location pool exhausted!,**We're out of new places — final scores!**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Could not start the round,**Couldn't start the round — try again.**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Imagery didn't load — guess from the map.,**Street view didn't load — guess from the map.**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Round 3/5 vs Round 3 of 5,keep (HUD compact / heading spoken)
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",2/4 in (locked HUD chip),**2/4 locked in**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Drop your pin / Raise the stakes?,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Your next tap plants the decoy — then tap again for your real pin.,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",You gave up — SUPER SURE burned. / Time! No pin — SUPER SURE burned.,**…your SUPER SURE bet is gone.**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Time! Your pin was locked in.,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",✓ in (#2) / #2 to lock in (locked screen),**✓ locked in 2nd** / **You locked in 2nd**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Eyes on the TV 📺 / Results land right here when everyone's in / Everyone's in! / Reveal in 3…,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",∞ (no-limit timer),**No timer**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",— (unnamed place at reveal),**Somewhere mysterious**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",ACE stamp / 👑 board prefix / (you),keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Finish game / Next round / {host} wraps up… / …starts the next round…,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Holding — advance whenever you're ready,**Holding — tap Next round whenever you're ready.**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",🏆 You won! / winLine / Game over! / Winner runs the table… / {winner} won — their phone is the host now…,keep (WIN_LINES rewritten below)
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Could not create the next game / That room is gone,**Couldn't set up the next game — try again.** / keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Where are you? / Look around 👀… / How points work / FINAL SHOWDOWN,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Then Make Guess. (hint),**Then tap Guess on the map.**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",This phone is the big screen / No TV attached — the reveal lands right here.,keep / **No TV connected — the reveal lands right here.**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Closer = more points. Faster = bonus. / Rivals see your pin move — bluff away.,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Lock it in / Lock in (×3 modes),**Lock it in** (all) **[test]**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",🔥 Lock in ×2 / or 0 (armed),**🔥 Lock it in ×2** / **or 0** **[test]**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)","≈ +3,240 (estimate sublabel)",keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Got it,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Raise the stakes? / 🔥 Double or nothing · 🎭 Decoy pin,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Are you SUPER SURE? Tap for double or nothing 🔥 / Feeling sneaky? Tap to plant a decoy pin 🎭,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)","SUPER SURE / Double or nothing, once per game. Closest pin this round: your points ×2…",keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)","Once armed, the bet is on — no backing out this round.","**Once placed, the bet is on — no backing out this round.**"
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Arm the bet,**Place the bet 🔥**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",Not now,keep
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",🎭 Decoy / Plant a fake pin for rivals to see. Your real pin goes dark. / Once per game. / Plant the decoy,**…rivals stop seeing your real pin.**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",SUPER SURE ×2 / SUPER SURE — 0 (reveal badges),**SUPER SURE ×2** / **SUPER SURE ×0** **[test]**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",⚡ BLITZ / 20-second clock · round ×1.5 / ⚡BLITZ / ×1.5 ⚡ (twist),**⚡ BLITZ** / keep / **⚡ BLITZ** / **⚡ ×1.5** **[test]**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",🧊 FROZEN / No moving — read the frame / 🧊FROZEN / 🧊,**🧊 FROZEN** / **No moving — read the scene** / **🧊 FROZEN** / **🧊 FROZEN** **[test]**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",🔒 BLIND DUEL / Rival pins are hidden / 🔒BLIND / 🔒,**🔒 BLIND ROUND** / keep / **🔒 BLIND ROUND** / **🔒 BLIND ROUND** **[test]**
"4. Player + modifiers (player.html, player-ui.js, hints, modifier, supersure, twist)",🌍 LONG HAUL / Gentler curve — go bold / 🌍LONGHAUL / 🌍,**🌍 LONG HAUL** / **Far-off pins score kinder — go bold** / **🌍 LONG HAUL** / **🌍 LONG HAUL** **[test]**
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",reconnecting…,**Reconnecting — hang tight…**
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Game in progress / Room CODE — resume as host? / Resume,keep
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Difficulty: Casual / World tour / Expert,keep
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Rounds/Teams + numerals,keep
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",🎲 Surprise me,keep
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",More options / Seconds per round / 60/120/180/No limit,keep
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Movement: Allowed / No moving,keep
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Twists: Off / Occasional / Chaos,keep
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Past games,keep
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",New game,**Start the party**
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Room code · ······ · No TV? No problem — the reveal shows right here.,keep
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)","📺 Put it on a TV / Scan with any spare phone or tablet, then cast it to the TV.",**📺 Add a TV — optional** / align device wording
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Send the TV link,**Share the TV link**
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Abandon,**Close the room**
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Start round,**Start the game**
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Make guess,**Guess on the map**
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",map hint + Lock it in,keep
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",✋ Hold,keep
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Next round,keep
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Final standings,**Game over!**
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",© line,**© 2026 · A game by Eduardo Ariño de la Rubia**
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Share,**Share the result**
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",New game (game-over),**Play again**
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Could not create game — see console,**Couldn't start the party — check your connection and try again.**
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Location pool exhausted!,**We're out of new places — final scores!**
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Round 3/5 vs Round 3 of 5,keep (HUD compact / heading spoken)
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",FINAL SHOWDOWN vs Final Showdown,keep (ceremony caps)
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",∞,**No timer**
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Time's up!,keep
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",…drop your pin (2/4),**…drop your pin (2 of 4)**
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Raise the stakes? (couch sheet),keep
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",LOCKED IN stamp / Pass the phone — ${name} is up!,keep
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Holding — advance whenever you're ready,**Holding — tap Next round whenever you're ready.**
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",SUPER SURE ×2 / SUPER SURE — 0 / Answer,**SUPER SURE ×2** / **SUPER SURE ×0** / keep **[test]**
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",— (unnamed place),**Somewhere mysterious**
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",👑 prefixes (showdown + board),keep (round-winner)
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Finish / Next round,keep
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Saved to your past games ✓ / That room is gone,keep
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Finding your room… / Room not found — check the code. / Codes are 6 letters — check the TV or the invite.,keep (model error copy)
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",TV typing fallback / Join on your phone: {site} — code {code},keep
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",Scan the host's QR to join,**Scan the QR on the host's phone to join**
"5. Host / landing / TV-link (host.html, host-ui.js, landing-ui.js, tvlink.js, team-names.js)",GEO_PUNS (102 puns),keep (4 edgy entries flagged for owner decision)
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",🔊/🔇 + Sound on — tap to mute / Sound off — tap to unmute,keep
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",WIN_LINES: take the room / run the table / The room belongs to / own the map / that's the game,**locked it down** / **read the map** / keep / keep / keep
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",The room was closed. / Room not found — check the code.,keep
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)","Round 3 / 5 · HUD, FINAL SHOWDOWN (— every team plays!), {name} is guessing · 2/4",**Round 3/5**; keep showdown; **2/4 locked in**
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",place-name pop / distance · caption / points,keep
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",🎯 ACE — 0.4 km,keep
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",This round / Totals,keep (Totals everywhere)
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",👑 ${name} (closest-team crown),keep (round-winner)
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",answered in 23s (⚡+140) / 🔥 SUPER SURE ×2 / — 0,keep / keep / **SUPER SURE ×0** **[test]**
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)","count-ups, standings, podium",keep
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",👑 ${winner} won — their phone runs the next game,keep
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",${name} 👑 (lobby host chip),**${name} · host**
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",…scan the host's QR to join / n teams ready… / tally · status,**…scan the QR on the host's phone to join** / keep / keep
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",exploring / LOCKED IN / locked in / 2 / 4 locked in / #2 in / on the map 📍,keep / keep / keep / keep / **locked in 2nd** / **picking a spot 📍**
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)","3-2-1, place pop, boards",keep
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",TV connected ✓ / Offline — you can play on this phone alone. / No TV? No problem — the reveal shows right here.,keep
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",👑 ${name} wins!,keep
"6. TV screens / fx / night / reveal (screen.html, screen-ui.js, screen-h2h.js, couchscreen.js, fx.js, night.js, revealmap.js, autoadvance.js)",${name} ×2 / 👑 {parts} — first to 3 takes the night,keep
